"Path,Name,Type,Address,Host Model,Version"
"/Drivers/NiagaraNetwork/CliftonSchool_1,CliftonSchool_1,Niagara Station,ip:10.10.14.65,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_3,CliftonSchool_3,Niagara Station,ip:10.10.17.67,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_4,CliftonSchool_4,Niagara Station,ip:10.10.18.68,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_9,CliftonSchool_9,Niagara Station,ip:10.10.21.71,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_14,CliftonSchool_14,Niagara Station,ip:10.10.26.76,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_11,CliftonSchool_11,Niagara Station,ip:10.10.22.72,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonSchool_16,CliftonSchool_16,Niagara Station,ip:10.10.28.78,TITAN,4.13.2.18.3"
"/Drivers/NiagaraNetwork/CliftonSchool_Jace1,CliftonSchool_Jace1,Niagara Station,ip:10.10.13.63,TITAN,4.13.2.18.3"
"/Drivers/NiagaraNetwork/CliftonSchool_5,CliftonSchool_5,Niagara Station,ip:10.10.19.69,TITAN,4.13.2.18.3"
"/Drivers/NiagaraNetwork/CliftonSchools_Pkg1_Jace2,CliftonSchools_Pkg1_Jace2,Niagara Station,ip:10.10.13.64,TITAN,4.13.2.18.3"
"/Drivers/NiagaraNetwork/CliftonHighSchoolHWS,CliftonHighSchoolHWS,Niagara Station,ip:10.10.13.65,nxubc,4.13.2.18"
"/Drivers/NiagaraNetwork/Clifton_School_1,Clifton_School_1,Niagara Station,ip:10.10.14.65,nxubc,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonStadium,CliftonStadium,Niagara Station,ip:10.10.30.80,TITAN,4.13.2.18"
"/Drivers/NiagaraNetwork/CliftonHS_Jace3,CliftonHS_Jace3,Niagara Station,ip:10.10.13.84,TITAN,4.13.2.18.3"
"/Drivers/NiagaraNetwork/Sch12_HWS,Sch12_HWS,Niagara Station,ip:10.10.24.73,nxubc,4.13.2.18"
